high price,Supply Ability,title,moq,supplier company,currency,Packaging Details,low price,Payment Terms,supplier url,Delivery Details,supplier name,Port,unit,image list
"7,000",1000 Metric Ton/Metric Tons per Month,Hulled hemp seed/hulled hempseeds, 1 Metric Ton,"Gansu Zhongshida International Trade Co., Ltd.",US $,"Outer package is carton(30kg/carton).
Inner package is aluminum foil bag(15kg/bag);","6,500","D/A,D/P,T/T",https://zhongshida.m.en.alibaba.com,Within 15 days after signing the contract,Enzo Sun,"Tianjin port,Dalian port", / Metric Ton,"['sc01.alicdn.com/kf/HTB1hK_wRXXXXXb.XVXXq6xXFXXXa/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1oHjIRXXXXXb8XFXXq6xXFXXX6/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1NmzPRXXXXXXnXFXXq6xXFXXXQ/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1dnvPRXXXXXXrXFXXq6xXFXXXc/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1lvzvRXXXXXcfXVXXq6xXFXXXz/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Sor0RXXXXXcDXXXXq6xXFXXXi/Hulled-hemp-seed-hulled-hempseeds.jpg_640x640.jpg']"
26,10000 Kilogram/Kilograms per Month Hemp Seed Powder,$50 OFF Superfoods Hempseed Protein Hemp Seed P.E. Powder, 1 Kilogram,"Xi'an Nature Herb Bio-Tech Co., Ltd.",US $,"Superfoods Hempseed Protein Hemp Seed P.E. Powder
1kg/bag or 25kg/drum",20,"L/C,D/A,D/P,T/T,Western Union,MoneyGram,Paypqal",https://natureherb.m.en.alibaba.com,2-3 days after payment,Aimee Ma,China main port, / Kilogram,"['sc01.alicdn.com/kf/HTB17KSJSVXXXXcUXFXXq6xXFXXX5/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1su5kSVXXXXXPapXXq6xXFXXXc/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1s59gSVXXXXahapXXq6xXFXXX7/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Og1vSVXXXXXbaXXXq6xXFXXXX/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1DYSWSVXXXXaRXpXXq6xXFXXXb/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1WtaCSVXXXXa_XVXXq6xXFXXXK/Superfoods-Hempseed-Protein-Hemp-Seed-P-E.jpg_640x640.jpg']"
"1,253",500 Ton/Tons per Month,$50 OFF Hulled HEMP SEEDS, 25 Tons,"Hebei Golden Vast Field Agricultural Development Co., Ltd.",US $,25kgs pp bag,"1,126","L/C,T/T",https://jdbean.m.en.alibaba.com,"T/T within 7days,L/C within 2 or 3 weeks",Grace Guo,"Xingang port,CHina", / Ton,"['sc01.alicdn.com/kf/HTB1h4kqfEFWMKJjSZFv761enFXaY/Hulled-HEMP-SEEDS.png_640x640.png', 'sc01.alicdn.com/kf/HTB1FNlkglcHL1JjSZFBq6yiGXXa4/Hulled-HEMP-SEEDS.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1o77BfyFTMKJjSZFAq6AkJpXat/Hulled-HEMP-SEEDS.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1Exw1f8cHL1JjSZJi763KcpXaD/Hulled-HEMP-SEEDS.png_640x640.png', 'sc01.alicdn.com/kf/HTB11Uk5f93PL1JjSZFt763lRVXa9/Hulled-HEMP-SEEDS.png_640x640.png']"
"7,000",1000 Ton/Tons per Year,"Certified Organic Whole Shelled Hemp Seeds, Great taste!", 1 Ton,"Jinzhou Qiaopai Machineries Co., Ltd.",US $,"1.225g/bag
2.450g/bag
2.15kg/bag","6,500","L/C,T/T",https://jzqiaopai.m.en.alibaba.com,"T/T within 7days,L/C within 2 or 3 weeks",christie zhang,Dalian, / Ton,['sc01.alicdn.com/kf/HTB1vS_QKFXXXXXwXXXXq6xXFXXXN/Certified-Organic-Whole-Shelled-Hemp-Seeds-Great.jpg_640x640.jpg']
20,85000 Kilogram/Kilograms per Month have goods in stock,$50 OFF factory supply 60% protein hemp seed powder, 1 Kilogram,"Shaanxi Jintai Biological Engineering Co., Ltd.",US $,"1> 1kg/bag, 2kg/bag with double plastic container inside and Aluminum foil bag outside.
2> 25kg/drum, with double plastic bag and cardboard drum outside.
Drum Size: 37.8*49cm; Volume: 0.08 m3/ Drum. NW: 25kg; GW: 28kg
3> customized packing.
Best quality and best service start here...",10,"L/C,D/A,D/P,T/T,Western Union,MoneyGram,PayPal",https://jintaibio.m.en.alibaba.com,within 1-2 days,Olive feng,"Shanghai, Beijing, Tianjin, Guangzhou, Qingdao", / Kilogram,['sc01.alicdn.com/kf/HTB1sfY4NVXXXXcOXVXXq6xXFXXXJ/factory-supply-60-protein-hemp-seed-powder.jpg_640x640.jpg']
980,500 Ton/Tons per Month,$50 OFF Chinese factory supplier direct agricultural hemp seeds wholesale, 17 Metric Tons,"Hebei Nihewan Agricultural Development Co., Ltd.",US $,"25/50kg pp bag, or according to the buyers' requirements.",930,"L/C,D/A,D/P,T/T",https://nihewan.m.en.alibaba.com,Shipped in 7-10 days after payment,Luna Yang,"Tianjin Port,China", / Metric Ton,"['sc02.alicdn.com/kf/HTB13A8zXwMPMeJjy1Xdq6ysrXXae/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1yiBwXBUSMeJjy1zkq6yWmpXa0/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1_nKpXmFRMKJjy0Fhq6x.xpXag/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1R7hyXyERMeJjSspiq6zZLFXa6/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB16k8vXrwTMeJjSszfq6xbtFXaQ/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1D7lyXyERMeJjSspiq6zZLFXas/Chinese-factory-supplier-direct-agricultural-hemp-seeds.jpg_640x640.jpg']"
9.8,400 Ton/Tons per Year,Organic Hemp Seed 100% grown in the USA, 300 Kilograms,AUSTER FOODS LLC,US $,"PALLETIZATION (palletized loads)
*Standard palletization includes 40 bags
* Pallet Net Weight: 1000 Kg
CONTAINER LOADABILITY (pallet and floor load):
* Quantity x 20 feet container / Palletized: 10 pallets
* Quantity x 20 feet container / Floor load: Net Weight: 19.000 Kg",7.9,"L/C,T/T,Paypal or Credit Card",https://austerfoods.m.trustpass.alibaba.com,Shipped in 10 days after payment,Diego Garcia,"Miami (FL) or Los Angeles (CA), United States", / Kilogram,"['sc02.alicdn.com/kf/UT8A5ObX6FXXXagOFbXn/Organic-Hemp-Seed-100-grown-in-the.jpg_640x640.jpg', 'sc01.alicdn.com/kf/UT8OtybX9xXXXcUQpbXN/Organic-Hemp-Seed-100-grown-in-the.png_640x640.png', 'sc02.alicdn.com/kf/UT8d7GcXZNXXXcUQpbXi/Organic-Hemp-Seed-100-grown-in-the.png_640x640.png', 'sc02.alicdn.com/kf/UT8A5yXX3xaXXcUQpbXv/Organic-Hemp-Seed-100-grown-in-the.png_640x640.png']"
"2,500",1000 Ton/Tons per Month,Hot selling good quality shelled hemp seeds, 25 Tons,"Inner Mongolia Deluke Import And Export Trade Co., Ltd.",US $,"25kg pp bag
Customized package can be accepted","2,000",T/T,https://deluke.m.en.alibaba.com,21days after received the deposite,Leonard Liu,Tianjin, / Ton,"['sc01.alicdn.com/kf/HTB1uatjfTAKL1JjSZFC760FspXaL/Hot-selling-good-quality-shelled-hemp-seeds.png_640x640.png', 'sc01.alicdn.com/kf/HTB1VRdhfS7PL1JjSZFH763ciXXaC/Hot-selling-good-quality-shelled-hemp-seeds.png_640x640.png', 'sc02.alicdn.com/kf/HTB1C_8gfOwIL1JjSZFs763XFFXa8/Hot-selling-good-quality-shelled-hemp-seeds.png_640x640.png', 'sc01.alicdn.com/kf/HTB1jmg_fBcHL1JjSZJi763KcpXae/Hot-selling-good-quality-shelled-hemp-seeds.png_640x640.png']"
"1,100",1000 Metric Ton/Metric Tons per Year,New Crop Bulk Sun Hemp Seeds, 17 Metric Tons,"Goodluck Agricultural Products (Dalian) Co., Ltd.",US $,25kg or 50kg woven pp.bag,"1,000","L/C,D/P,T/T",https://good-luck.m.en.alibaba.com,within 15 days after receiving your deposit,alice lin,"Dalian ,China", / Metric Ton,"['sc01.alicdn.com/kf/HTB1lL6LHpXXXXbkXFXXq6xXFXXXD/New-Crop-Bulk-Sun-Hemp-Seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1fzDPHpXXXXbiXpXXq6xXFXXXB/New-Crop-Bulk-Sun-Hemp-Seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Cd_RHpXXXXcyXXXXq6xXFXXXE/New-Crop-Bulk-Sun-Hemp-Seeds.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Sa6IHpXXXXXaaXXXq6xXFXXXD/New-Crop-Bulk-Sun-Hemp-Seeds.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB12iDQHpXXXXXsXpXXq6xXFXXXn/New-Crop-Bulk-Sun-Hemp-Seeds.jpg_640x640.jpg']"
7.5,500 Metric Ton/Metric Tons per Month,High-quality certified industrial shelled hemp seed, 500 Kilograms,"Shenzhen Sinohemp Biotechnology Co., Ltd.",US $,"25KG/bag, 1 bag/carton ; inside plastic bag, outside PP bag",6.5,"T/T,Western Union,MoneyGram,Paypal",https://hempbio.m.en.alibaba.com,Shipped in 5 days after payment,Cindy Han,Shenzhen or Tianjin, / Kilogram,"['sc01.alicdn.com/kf/HTB1b3TqJVXXXXcuXXXXq6xXFXXXC/High-quality-certified-industrial-shelled-hemp-seed.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB195TpJVXXXXcJXXXXq6xXFXXXd/High-quality-certified-industrial-shelled-hemp-seed.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Tne6JVXXXXa0XVXXq6xXFXXXm/High-quality-certified-industrial-shelled-hemp-seed.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Gce0JVXXXXapaXXXq6xXFXXXI/High-quality-certified-industrial-shelled-hemp-seed.jpg_640x640.jpg']"
600,1000 Metric Ton/Metric Tons per Year,organic edible hemp seed, 17 Metric Tons,"Dalian Taijin Trading Co., Ltd.",US $,25KGS or 50KGS PP bags or based on buyer's requirment,500,"L/C,D/A,D/P,T/T,ANY PAYMENT TERM REQUIRED BY BUYER CAN BE DISCUSSED",https://taijin.m.en.alibaba.com,within 10 days after the contract is signed,Nick Yu,DALIAN, / Metric Ton,['sc01.alicdn.com/kf/HTB1fc4VNVXXXXXeXXXXq6xXFXXXh/organic-edible-hemp-seed.jpg_640x640.jpg']
485,350 Metric Ton/Metric Tons per Month,High Quality Sun Hemp Seeds from India, 24 Metric Tons,KINAL GLOBAL CARE PRIVATE LIMITED,US $,Packing in 25/50 Kg PP Bags.,385,"L/C,D/P,T/T",https://indiaexports.m.trustpass.alibaba.com,10-15 Working days,Vishal Umbarkar,Mumbai/Mundra/Chennai, / Metric Ton,"['sc02.alicdn.com/kf/UT8Z9MWXUpXXXagOFbXT/High-Quality-Sun-Hemp-Seeds-from-India.jpg_640x640.jpg', 'sc02.alicdn.com/kf/UT85YcZXLtXXXagOFbXk/High-Quality-Sun-Hemp-Seeds-from-India.jpg_640x640.jpg', 'sc02.alicdn.com/kf/UT8tyUWXF8aXXagOFbXo/High-Quality-Sun-Hemp-Seeds-from-India.jpg_640x640.jpg', 'sc01.alicdn.com/kf/UT8u2sZXJNXXXagOFbXH/High-Quality-Sun-Hemp-Seeds-from-India.jpg_640x640.jpg', 'sc01.alicdn.com/kf/UT8P8.WXUNXXXagOFbXM/High-Quality-Sun-Hemp-Seeds-from-India.jpg_640x640.jpg', 'sc02.alicdn.com/kf/UT87CsWXSRXXXcUQpbXe/High-Quality-Sun-Hemp-Seeds-from-India.png_640x640.png']"
990,500 Ton/Tons per Month,$50 OFF select 2017 New crops High quality hemp seed wholesale for bird, 17 Tons,"Hebei Golden Vast Field Agricultural Development Co., Ltd.",US $,25/50kg pp bag and according to customer's requirements.,950,"L/C,D/A,D/P,T/T,Western Union,MoneyGram",https://jdbean.m.en.alibaba.com,Shipped in 7 days after payment,Serina Gong,"Xingang port,China", / Ton,"['sc02.alicdn.com/kf/HTB1SMdJX2NNTKJjSspk761eWFXaH/select-2017-New-crops-High-quality-hemp.png_640x640.png', 'sc01.alicdn.com/kf/HTB1CqwwazihSKJjy0Fl761dEXXaq/select-2017-New-crops-High-quality-hemp.png_640x640.png', 'sc01.alicdn.com/kf/HTB1U7NHeMMPMeJjy1Xd761srXXaA/select-2017-New-crops-High-quality-hemp.png_640x640.png', 'sc01.alicdn.com/kf/HTB13lUvazuhSKJjSspa760FgFXar/select-2017-New-crops-High-quality-hemp.png_640x640.png', 'sc02.alicdn.com/kf/HTB1Dz8WeMoQMeJjy0Fn7628gFXaj/select-2017-New-crops-High-quality-hemp.png_640x640.png', 'sc02.alicdn.com/kf/HTB17l0ReHsTMeJjSszh763GCFXaz/select-2017-New-crops-High-quality-hemp.png_640x640.png']"
"8,000",80 Ton/Tons per Year no,organic hulled hemp seed, 3 Tons,"Dalian Spring Agricultural Products Co., Ltd.",US $,"2X12.5kg vacuum bag/carton
453g/carton
20kg/carton","7,300","L/C,D/P,T/T,Western Union",https://dlchuntianag.m.en.alibaba.com,10-30 days,Jackie CUI,Dalian, / Ton,"['sc01.alicdn.com/kf/HTB1naocJpXXXXaMXVXXq6xXFXXXX/organic-hulled-hemp-seed.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1QrgvJpXXXXXFXpXXq6xXFXXXC/organic-hulled-hemp-seed.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1qjkdJpXXXXbqXVXXq6xXFXXXI/organic-hulled-hemp-seed.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1B03XJpXXXXa9XVXXq6xXFXXXn/organic-hulled-hemp-seed.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB10kkyJpXXXXb.XXXXq6xXFXXXX/organic-hulled-hemp-seed.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1Z.oiJpXXXXXNXVXXq6xXFXXXl/organic-hulled-hemp-seed.jpg_640x640.jpg']"
"1,200",500 Metric Ton/Metric Tons per Month,edible hemp seeds for bird, 17000 Kilograms,"Tianjin Huge Roc Enterprises Co., Ltd.",US $,25kgs per PP woven bag,900,"L/C,D/A,D/P,T/T,Western Union",https://hugeroc.m.en.alibaba.com,2-3 weeks after ordering,Kevin Ma,TIANJIN, / Metric Ton,"['sc01.alicdn.com/kf/HTB1rHlWLXXXXXa5XVXXq6xXFXXXi/edible-hemp-seeds-for-bird.jpg_640x640.jpg', 'sc02.alicdn.com/kf/HTB1p4XRLXXXXXcHXVXXq6xXFXXXN/edible-hemp-seeds-for-bird.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1AFt0LXXXXXcWXFXXq6xXFXXXi/edible-hemp-seeds-for-bird.jpg_640x640.jpg']"
100,2000 Ton/Tons per Year raw hemp,$50 OFF shelled hemp seeds high quality raw hemp, 1 Kilogram,Fuyang Bestop Import And Export Ltd.,US $,"raw hemp
standard export packing
or according to customer's request",1,"L/C,T/T,Western Union",https://sinofoods.m.en.alibaba.com,15-20 working days after received deposit,Aileen Dong,China, / Kilogram,"['sc01.alicdn.com/kf/HTB1NJbrKVXXXXXkXFXXq6xXFXXXl/shelled-hemp-seeds-high-quality-raw-hemp.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1BxLoKVXXXXbGXFXXq6xXFXXXD/shelled-hemp-seeds-high-quality-raw-hemp.jpg_640x640.jpg', 'sc01.alicdn.com/kf/HTB1KbnjKVXXXXaqXVXXq6xXFXXXH/shelled-hemp-seeds-high-quality-raw-hemp.jpg_640x640.jpg']"
